food_id,food_name_ko,food_name_en,category,subcategory,serving_size_g,serving_label,gi_value,gi_grade,carbs_g,sugar_g,kcal,data_source,notes
KR_RIC_001,흰쌀밥,White Rice,곡류,밥류,210,1공기,84,위험,68,0.1,313,식약처+Sydney GI,
KR_RIC_002,현미밥,Brown Rice,곡류,밥류,210,1공기,55,안심,65,0.7,320,식약처+Sydney GI,
KR_RIC_003,잡곡밥,Mixed Grain Rice,곡류,밥류,210,1공기,58,주의,66,0.5,325,식약처+Sydney GI,
KR_RIC_004,콩밥,Rice with Beans,곡류,밥류,210,1공기,52,안심,61,0.6,310,식약처+Sydney GI,
KR_RIC_005,김밥,Gimbap,곡류,밥류,250,1줄,72,위험,70,4.2,420,식약처+Sydney GI,
KR_RIC_006,볶음밥,Fried Rice,곡류,밥류,250,1공기,68,주의,72,3.8,450,식약처+Sydney GI,
KR_RIC_007,비빔밥,Bibimbap,곡류,밥류,400,1그릇,67,주의,79,6.2,560,식약처+Sydney GI,
KR_RIC_008,주먹밥,Rice Ball,곡류,밥류,120,1개,74,위험,39,1.5,180,식약처+Sydney GI,
KR_RIC_009,오므라이스,Omelette Rice,곡류,밥류,350,1접시,73,위험,78,8.0,590,식약처+Sydney GI,
KR_RIC_010,카레라이스,Curry Rice,곡류,밥류,400,1접시,69,주의,82,5.4,610,식약처+Sydney GI,
KR_RIC_011,김치볶음밥,Kimchi Fried Rice,곡류,밥류,300,1공기,70,위험,74,4.1,530,식약처+Sydney GI,
KR_RIC_012,유부초밥,Inari Sushi,곡류,밥류,200,1인분,71,위험,60,9.5,390,추정,추정
KR_NOO_001,라면,Ramyun,면류,국물면,500,1봉지,73,위험,79,3.2,510,식약처+Sydney GI,
KR_NOO_002,짜장면,Jajangmyeon,면류,중식면,700,1그릇,65,주의,90,10.1,785,식약처+Sydney GI,
KR_NOO_003,짬뽕,Jjamppong,면류,중식면,700,1그릇,62,주의,82,6.8,690,식약처+Sydney GI,
KR_NOO_004,냉면,Naengmyeon,면류,국수,650,1그릇,68,주의,85,7.2,520,식약처+Sydney GI,
KR_NOO_005,잔치국수,Janchi Guksu,면류,국수,500,1그릇,61,주의,72,2.8,430,식약처+Sydney GI,
KR_NOO_006,비빔국수,Spicy Mixed Noodles,면류,국수,450,1그릇,69,주의,88,13.4,550,식약처+Sydney GI,
KR_NOO_007,우동,Udon,면류,일식면,600,1그릇,62,주의,76,4.5,470,식약처+Sydney GI,
KR_NOO_008,파스타,Tomato Pasta,면류,파스타,300,1접시,49,안심,65,7.0,480,식약처+Sydney GI,
KR_NOO_009,크림파스타,Cream Pasta,면류,파스타,350,1접시,54,안심,68,5.2,690,식약처+Sydney GI,
KR_NOO_010,쫄면,Jjolmyeon,면류,비빔면,450,1그릇,70,위험,92,15.1,620,추정,추정
KR_BRE_001,식빵,White Bread,빵류,식사빵,70,2조각,75,위험,35,4.0,190,식약처+Sydney GI,
KR_BRE_002,통밀빵,Whole Wheat Bread,빵류,식사빵,70,2조각,53,안심,31,3.5,180,식약처+Sydney GI,
KR_BRE_003,베이글,Bagel,빵류,식사빵,100,1개,72,위험,49,5.2,280,식약처+Sydney GI,
KR_BRE_004,크루아상,Croissant,빵류,패스트리,60,1개,67,주의,26,6.1,290,식약처+Sydney GI,
KR_BRE_005,모닝빵,Dinner Roll,빵류,식사빵,35,1개,70,위험,18,2.1,110,식약처+Sydney GI,
KR_BRE_006,소보로빵,Soboro Bread,빵류,달콤빵,90,1개,74,위험,45,18.0,370,식약처+Sydney GI,
KR_BRE_007,단팥빵,Red Bean Bread,빵류,달콤빵,100,1개,71,위험,52,20.3,360,식약처+Sydney GI,
KR_BRE_008,마늘빵,Garlic Bread,빵류,조리빵,80,2조각,66,주의,38,5.0,320,식약처+Sydney GI,
KR_BRE_009,피자빵,Pizza Bread,빵류,조리빵,120,1개,68,주의,43,7.8,390,추정,추정
KR_BRE_010,카스테라,Sponge Cake,빵류,케이크빵,80,2조각,72,위험,46,24.5,310,식약처+Sydney GI,
KR_FRU_001,사과,Apple,과일,생과일,150,1개,36,안심,20,16.0,85,식약처+Sydney GI,
KR_FRU_002,바나나,Banana,과일,생과일,120,1개,51,안심,27,14.0,105,식약처+Sydney GI,
KR_FRU_003,포도,Grapes,과일,생과일,100,1컵,59,주의,18,15.5,69,식약처+Sydney GI,
KR_FRU_004,수박,Watermelon,과일,생과일,200,1조각,76,위험,15,13.8,60,식약처+Sydney GI,
KR_FRU_005,딸기,Strawberry,과일,생과일,150,1컵,41,안심,11,7.0,48,식약처+Sydney GI,
KR_FRU_006,오렌지,Orange,과일,생과일,180,1개,43,안심,18,14.0,86,식약처+Sydney GI,
KR_FRU_007,배,Pear,과일,생과일,180,1개,38,안심,27,17.2,100,식약처+Sydney GI,
KR_FRU_008,복숭아,Peach,과일,생과일,150,1개,42,안심,14,12.0,58,식약처+Sydney GI,
KR_FRU_009,참외,Korean Melon,과일,생과일,200,1개,65,주의,16,14.3,66,추정,추정
KR_FRU_010,파인애플,Pineapple,과일,생과일,150,1컵,59,주의,20,16.3,82,식약처+Sydney GI,
KR_FRU_011,키위,Kiwi,과일,생과일,100,1개,50,안심,15,9.0,61,식약처+Sydney GI,
KR_FRU_012,블루베리,Blueberry,과일,생과일,100,1컵,53,안심,14,10.0,57,식약처+Sydney GI,
